,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Government Renewables Action Tracker - Transaction Data (01/01/2015 - 06/30/2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated 12/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyer Data,,,,,,Transaction Overview,,,,,,,,,Development and Operation Details,,,,,,,,Data Source Details,,,,,,,,,,,,,,,,,,,,,,,
Ref. No.,Buyer Name,State,City Latitude,City Longitude,ISO or FERC Region,Announcement Year,Announcement Year (or Operations Year if Announcement Year unavailable),Announcement Date,Technology,Transaction Type,Size of Purchase (MW),DC/AC,Contract Length (Year),Energy Price in Year 1 ($/MWh),Utility Name,Utility Type,Developer Name,Project Name,Project Location,Project State,Operation Start Year,Estimated Annual Generation (MWh),Source 1,Source 2,Source 3,Source 4,Source 5,Notes,,,,,,,,,,,,,,,,,,
35,Pima County,Arizona,32.1112624,-111.65462,Southwest,,2016,,Solar,On-site,0.309,DC,,,,,Solon,Elections Center,Tucson,Arizona,2016,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
36,Pima County,Arizona,32.1112624,-111.65462,Southwest,,2018,,Solar,On-site,0.309,DC,,,,,Solon,Minimum Security Annex,Tucson,Arizona,2018,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
37,Pima County,Arizona,32.1112624,-111.65462,Southwest,,2018,,Solar,On-site,0.370,DC,,,,,Solon,Air & Space Museum,Tucson,Arizona,2018,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
38,Pima County,Arizona,32.1112624,-111.65462,Southwest,,2018,,Solar,On-site,0.416,DC,,,,,Solon,911 Call Center,Tucson,Arizona,2018,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
39,Pima County,Arizona,32.1112624,-111.65462,Southwest,,2016,,Solar,On-site,0.468,DC,,,,,Solon,Kino Baseball Stadium,Tucson,Arizona,2016,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
40,Pima County,Arizona,32.1112624,-111.65462,Southwest,,2016,,Solar,On-site,0.493,DC,,,,,Solon,Sheriff Building,Tucson,Arizona,2016,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
41,Pima County,Arizona,32.1112624,-111.65462,Southwest,,2018,,Solar,On-site,0.636,DC,,,,,Solon,Fleet Services Center,Tucson,Arizona,2018,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
42,Pima County,Arizona,32.1112624,-111.65462,Southwest,,2018,,Solar,On-site,0.695,DC,,,,,Solon,Pima Animal Care Center,Pima County,Arizona,2018,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
43,Pima County,Arizona,32.1112624,-111.65462,Southwest,,2016,,Solar,On-site,1.253,DC,,,,,Solon,Juvenile Courts (Two Meters),Tucson,Arizona,2016,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
44,Pima County,Arizona,32.1112624,-111.65462,Southwest,2015,2015,09/14/2015,Solar,On-site,5.000,,20,,,,SunEdison,Solar project on the roof of the County's Abrams Building houses medical services,Pima County,Arizona,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=2ahUKEwjW6IeRj6roAhWWBc0KHRHgDLIQFjAAegQIBhAB&url=https%3A%2F%2Fwebcms.pima.gov%2FUserFiles%2FServers%2FServer_6%2FFile%2FGovernment%2FAdministration%2FCHHmemosFor%2520Web%2F2017%2FJuly%2FREIVISED%2520Reaffirming%2520County%2520Commitment%2520to%2520Address%2520Climate%2520Change.pdf&usg=AOvVaw2EdE2I-R2wz1Oao8hvKnj_,,,,,,,,,,,,,,,,,,,,,,,
