Year,Source,Metric,Value
2017,Bioenergy,Public Flows (2022 USD M),507.79
2017,Fossil,Electricity Generation (GWh),16599931.84
2017,Fossil,Public Flows (2022 USD M),1864.74
2017,Geothermal,Electricity Generation (GWh),86705.05
2017,Geothermal,Public Flows (2022 USD M),1487.88
2017,Hydropower,Electricity Generation (GWh),4089207.4
2017,Hydropower,Public Flows (2022 USD M),8842.66
2017,Marine,Electricity Generation (GWh),1049.57
2017,Nuclear,Electricity Generation (GWh),2633425.55
2017,Nuclear,Public Flows (2022 USD M),165.86
2017,Other-Non-renewable,Electricity Generation (GWh),130903.26
2017,Other-Non-renewable, Public Flows (2022 USD M),5.34
2017,Pumped-Storage,Electricity Generation (GWh),121016.79
2017,Solar,Electricity Generation (GWh),435595.21
2017,Solar,Public Flows (2022 USD M),4740.96
2017,Wind,Electricity Generation (GWh),1131499
2017,Wind,Public Flows (2022 USD M),6587.01
2017,Total-Sum,Electricity Generation (GWh),25723195.02
2017,Total-Sum,Public Flows (2022 USD M),24202.24
2018,Bioenergy,Electricity Generation (GWh),517088.54
2018,Bioenergy,Public Flows (2022 USD M),1393.95
2018,Fossil,Electricity Generation (GWh),17073782.65
2018,Fossil,Public Flows (2022 USD M),4372.73
2018,Geothermal,Electricity Generation (GWh),89464.93
2018,Geothermal,Public Flows (2022 USD M),1045.51
2018,Hydropower,Electricity Generation (GWh),4207213.04
2018,Hydropower,Public Flows (2022 USD M),6942.53
2018,Marine,Electricity Generation (GWh),1022.78
2018,Nuclear,Electricity Generation (GWh),2708701.83
2018,Nuclear,Public Flows (2022 USD M),2747.14
2018,Other-Non-renewable,Electricity Generation (GWh),138794.22
2018,Other-Non-renewable, Public Flows (2022 USD M),56.95
2018,Pumped-Storage,Electricity Generation (GWh),117467.24
2018,Solar,Electricity Generation (GWh),560272.84
2018,Solar,Public Flows (2022 USD M),4340.88
2018,Wind,Electricity Generation (GWh),1258771.64
2018,Wind,Public Flows (2022 USD M),3135.96
2018,Total-Sum,Electricity Generation (GWh),26672579.71
2018,Total-Sum,Public Flows (2022 USD M),24035.65
2019,Bioenergy,Electricity Generation (GWh),546771.64
2019,Bioenergy,Public Flows (2022 USD M),628.93
2019,Fossil,Electricity Generation (GWh),17041208.17
2019,Fossil,Public Flows (2022 USD M),6158.65
2019,Geothermal,Electricity Generation (GWh),92001.8
2019,Geothermal,Public Flows (2022 USD M),373.54
2019,Hydropower,Electricity Generation (GWh),4252819.22
2019,Hydropower,Public Flows (2022 USD M),1714.47
2019,Marine,Electricity Generation (GWh),996.34
2019,Marine,Public Flows (2022 USD M),2.69
2019,Nuclear,Electricity Generation (GWh),2780488.64
2019,Nuclear,Public Flows (2022 USD M),44.81
2019,Other-Non-renewable,Electricity Generation (GWh),147451.64
2019,Other-Non-renewable, Public Flows (2022 USD M),42.1
2019,Pumped-Storage,Electricity Generation (GWh),114165.03
2019,Solar,Electricity Generation (GWh),691604.42
2019,Solar,Public Flows (2022 USD M),3347.19
2019,Wind,Electricity Generation (GWh),1412811.61
2019,Wind,Public Flows (2022 USD M),3510.4
2019,Total-Sum,Electricity Generation (GWh),27080318.51
2019,Total-Sum,Public Flows (2022 USD M),15822.78
2020,Bioenergy,Electricity Generation (GWh),569263.13
2020,Bioenergy,Public Flows (2022 USD M),741.05
2020,Fossil,Electricity Generation (GWh),16607660.82
2020,Fossil,Public Flows (2022 USD M),4208.25
2020,Geothermal,Electricity Generation (GWh),95452.99
2020,Geothermal,Public Flows (2022 USD M),573.5
2020,Hydropower,Electricity Generation (GWh),4368382.74
2020,Hydropower,Public Flows (2022 USD M),2646.7
2020,Marine,Electricity Generation (GWh),986.38
2020,Nuclear,Electricity Generation (GWh),2678922.19
2020,Nuclear,Public Flows (2022 USD M),41.06
2020,Other-Non-renewable,Electricity Generation (GWh),152921.51
2020,Other-Non-renewable, Public Flows (2022 USD M),1.94
2020,Pumped-Storage,Electricity Generation (GWh),120133.61
2020,Solar,Electricity Generation (GWh),841856.53
2020,Solar,Public Flows (2022 USD M),3652.09
2020,Wind,Electricity Generation (GWh),1588944.68
2020,Wind,Public Flows (2022 USD M),2291.98
2020,Total-Sum,Electricity Generation (GWh),27024524.58
2020,Total-Sum,Public Flows (2022 USD M),14156.57
2021,Bioenergy,Electricity Generation (GWh),612053.2
2021,Bioenergy,Public Flows (2022 USD M),441.31
2021,Fossil,Electricity Generation (GWh),17429661.06
2021,Fossil,Public Flows (2022 USD M),2856.21
2021,Geothermal,Electricity Generation (GWh),94618.03
2021,Geothermal,Public Flows (2022 USD M),757.76
2021,Hydropower,Electricity Generation (GWh),4296867.12
2021,Hydropower,Public Flows (2022 USD M),3075.66
2021,Marine,Electricity Generation (GWh),972.32
2021,Marine,Public Flows (2022 USD M),0.01
2021,Nuclear,Electricity Generation (GWh),2798890.6
2021,Nuclear,Public Flows (2022 USD M),91.09
2021,Other-Non-renewable,Electricity Generation (GWh),168828.98
2021,Other-Non-renewable, Public Flows (2022 USD M),468.77
2021,Pumped-Storage,Electricity Generation (GWh),124569.92
2021,Solar,Electricity Generation (GWh),1036831.92
2021,Solar,Public Flows (2022 USD M),6660.26
2021,Wind,Electricity Generation (GWh),1842085.92
2021,Wind,Public Flows (2022 USD M),4360.25
2021,Total-Sum,Electricity Generation (GWh),28405379.07
2021,Total-Sum,Public Flows (2022 USD M),18711.32
2022,Bioenergy,Electricity Generation (GWh),622497.13
2022,Bioenergy,Public Flows (2022 USD M),368.36
2022,Fossil,Electricity Generation (GWh),17698937.98
2022,Fossil,Public Flows (2022 USD M),1658.78
2022,Geothermal,Electricity Generation (GWh),97277
2022,Geothermal,Public Flows (2022 USD M),53.51
2022,Hydropower,Electricity Generation (GWh),4341836.26
2022,Hydropower,Public Flows (2022 USD M),1477.94
2022,Marine,Electricity Generation (GWh),957.63
2022,Marine,Public Flows (2022 USD M),0.25
2022,Nuclear,Electricity Generation (GWh),2678841.33
2022,Nuclear,Public Flows (2022 USD M),57.27
2022,Other-Non-renewable,Electricity Generation (GWh),174893.62
2022,Other-Non-renewable, Public Flows (2022 USD M),0.09
2022,Pumped-Storage,Electricity Generation (GWh),142061.69
2022,Pumped-Storage,Public Flows (2022 USD M),35.59
2022,Solar,Electricity Generation (GWh),1297212.9
2022,Solar,Public Flows (2022 USD M),7933.19
2022,Wind,Electricity Generation (GWh),2097488.45
2022,Wind,Public Flows (2022 USD M),3788.64
2022,Total-Sum,Electricity Generation (GWh),29152003.99
2022,Total-Sum,Public Flows (2022 USD M),15373.62
2023,Bioenergy,Electricity Generation (GWh),631518.51
2023,Bioenergy,Public Flows (2022 USD M),481.99
2023,Fossil,Electricity Generation (GWh),17875063.14
2023,Fossil,Public Flows (2022 USD M),3972.43
2023,Geothermal,Electricity Generation (GWh),98158.57
