year,generation
2013,134.26
2014,138.82
2015,138.6
2016,143.99
2013,27.18
2014,26.79
2015,24.77
2016,26.23
2013,2655.64
2014,2655.64
2015,2039.11
2016,2044.7
2013,965.81
2014,1003.67
2015,314.58
2016,702.6
2013,35.05
2014,33.05
2015,31.42
2016,31.62
2013,9.05
2014,8.35
2015,6.72
2016,7.12
2013,9.37
2014,9.32
2015,9.37
2016,9.3
2013,20.08
2014,20.98
2015,21.02
2016,20.91
2013,183.1
2014,184.06
2015,182.72
2016,170.7
2013,78.47
2014,69.57
2015,52.26
2016,51.59
2013,243.96
2014,243.36
2015,236.37
2016,242.89
2013,58.52
2014,58.77
2015,56.99
2016,57.79
2013,128.79
2014,129.33
2015,125.41
2016,127.18
2013,11.12
2014,11.12
2015,9.55
2016,9.58
2013,82.07
2014,92.1
2015,65.49
2016,60.45
2013,87.37
2014,82.82
2015,62.66
2016,65.01
2013,139.11
2014,137.98
2015,131.15
2016,134.35
2013,4.64
2014,4.82
2015,4.85
2016,4.36
2013,10.17
2014,9.63
2015,9.5
2016,9.6
2013,20.86
2014,17.26
2015,13.37
2016,15.48
2013,272
2014,272
2015,212.91
2016,213.49
2013,560.59
2014,513.41
2015,234.11
2016,469.87
2013,87.53
2014,81.24
2015,57.12
2016,81.83
2013,300.68
2014,310.86
2015,300.1
2016,304.99
2013,355.69
2014,356.38
2015,356.07
2016,361.48
2013,34.28
2014,34.19
2015,24.7
2016,28.04
2013,42.32
2014,42.36
2015,39.21
2016,40.95
2013,38.78
2014,38.65
2015,24.51
2016,37.36
2013,161.27
2014,158.58
2015,155.16
2016,164.14
2013,10.63
2014,10.69
2015,10.49
2016,11.15
2013,297.7
2014,298.28
2015,298.02
2016,302.55
2013,404.06
2014,397.79
2015,402.69
2016,377.7
2013,237.47
2014,238.51
2015,238.2
2016,243.72
2013,36.37
2014,36.88
2015,35.94
2016,36.74
2013,185.5
2014,194.93
2015,176.15
2016,177.25
2013,260.09
2014,255.38
